T M E Susceptibility Cv
2.00000 0.911026 -1.74525 0.399480 0.729046
2.00500 0.909671 -1.74199 0.402351 0.734733
2.01000 0.907908 -1.73815 0.414244 0.744745
2.01500 0.906119 -1.73434 0.432375 0.753819
2.02000 0.904504 -1.73082 0.453424 0.764315
2.02500 0.902635 -1.72695 0.465898 0.773440
2.03000 0.900628 -1.72275 0.496041 0.790731
2.03500 0.898618 -1.71875 0.513973 0.796409
2.04000 0.896935 -1.71511 0.535215 0.809455
2.04500 0.895083 -1.71118 0.539418 0.811779
2.05000 0.892786 -1.70672 0.567341 0.826578
2.05500 0.890945 -1.70283 0.585438 0.842752
2.06000 0.888424 -1.69820 0.631835 0.855682
2.06500 0.886176 -1.69392 0.663705 0.868000
2.07000 0.883797 -1.68962 0.712629 0.878864
2.07500 0.881596 -1.68532 0.730804 0.889573
2.08000 0.879243 -1.68100 0.770527 0.907113
2.08500 0.876728 -1.67628 0.810368 0.920957
2.09000 0.874403 -1.67175 0.820717 0.927289
2.09500 0.871243 -1.66663 0.947243 0.950313
2.10000 0.868522 -1.66194 0.979144 0.962233
2.10500 0.866176 -1.65728 0.980068 0.970404
2.11000 0.862552 -1.65198 1.13797 0.992827
2.11500 0.859929 -1.64730 1.15970 1.00831
2.12000 0.856804 -1.64221 1.22301 1.02545
2.12500 0.853941 -1.63704 1.19940 1.03720
2.13000 0.850195 -1.63168 1.38208 1.07569
2.13500 0.846927 -1.62641 1.49029 1.08530
2.14000 0.842539 -1.62097 2.16601 1.11516
2.14500 0.839154 -1.61502 1.71366 1.12763
2.15000 0.836065 -1.61012 1.88935 1.14244
2.15500 0.831567 -1.60390 1.93713 1.16372
2.16000 0.828071 -1.59836 1.99106 1.17848
2.16500 0.823309 -1.59231 2.22395 1.20341
2.17000 0.818555 -1.58623 2.49646 1.24003
2.17500 0.814050 -1.57994 2.62830 1.24913
2.18000 0.808289 -1.57334 3.07981 1.28026
2.18500 0.804271 -1.56770 3.30142 1.30209
2.19000 0.795668 -1.55969 4.13800 1.36789
2.19500 0.793063 -1.55443 4.08516 1.37145
2.20000 0.784967 -1.54688 4.90289 1.40320
2.20500 0.778378 -1.53986 5.54480 1.43639
2.21000 0.769397 -1.53125 5.98495 1.48916
2.21500 0.760125 -1.52373 7.68321 1.54848
2.22000 0.755301 -1.51704 7.32355 1.55535
2.22500 0.747084 -1.50920 7.90566 1.59844
2.23000 0.736710 -1.50068 9.10522 1.62783
2.23500 0.727050 -1.49273 9.86875 1.70094
2.24000 0.718868 -1.48487 10.6951 1.71648
2.24500 0.704140 -1.47522 12.8291 1.78944
2.25000 0.693608 -1.46706 13.5778 1.80104
2.25500 0.684846 -1.45876 14.1270 1.81796
2.26000 0.662704 -1.44742 17.8774 1.90424
2.26500 0.649594 -1.43797 18.8786 1.92577
2.27000 0.634932 -1.42886 20.7776 1.97193
2.27500 0.614741 -1.41742 22.9449 1.98697
2.28000 0.605887 -1.41000 23.2979 2.00082
2.28500 0.588215 -1.39990 25.1419 2.01807
2.29000 0.561634 -1.38742 27.4618 2.01811
2.29500 0.550462 -1.37882 27.3650 2.01249
2.30000 0.533099 -1.36901 28.6609 2.00881
2.30500 0.510117 -1.35816 30.1242 1.99838
2.31000 0.491751 -1.34805 30.2981 1.93472
2.31500 0.479560 -1.34010 30.6051 1.93150
2.32000 0.465678 -1.33086 29.9903 1.88317
2.32500 0.436872 -1.31950 30.9992 1.84080
2.33000 0.429050 -1.31199 29.6074 1.78533
2.33500 0.403579 -1.30148 29.8597 1.73581
2.34000 0.395306 -1.29427 29.0311 1.68249
2.34500 0.370517 -1.28420 28.5642 1.62864
2.35000 0.360879 -1.27701 28.2546 1.60839
2.35500 0.348691 -1.26904 27.1395 1.56022
2.36000 0.333397 -1.26096 26.2809 1.50682
2.36500 0.327756 -1.25478 25.4855 1.47645
2.37000 0.314956 -1.24720 24.4208 1.44217
2.37500 0.298315 -1.23890 23.1478 1.36687
2.38000 0.291627 -1.23318 22.7017 1.35910
2.38500 0.281663 -1.22621 21.6044 1.31608
2.39000 0.274337 -1.22041 20.7359 1.28286
2.39500 0.264268 -1.21371 19.8796 1.24782
2.40000 0.256064 -1.20762 18.9996 1.21306
2.40500 0.249822 -1.20199 18.4153 1.19466
2.41000 0.243920 -1.19594 17.4539 1.17158
2.41500 0.234449 -1.18979 16.6612 1.13938
2.42000 0.227156 -1.18429 15.8196 1.11441
2.42500 0.224179 -1.17937 15.4822 1.09388
2.43000 0.217491 -1.17390 14.6996 1.07691
2.43500 0.209880 -1.16821 13.9619 1.05882
2.44000 0.208209 -1.16390 13.9376 1.04327
2.44500 0.203583 -1.15829 13.1891 1.02675
2.45000 0.195030 -1.15288 12.4119 0.999844
2.45500 0.192286 -1.14794 11.9312 0.989248
2.46000 0.187161 -1.14299 11.6115 0.971239
2.46500 0.182965 -1.13820 10.9501 0.957331
2.47000 0.175403 -1.13270 10.4149 0.943884
2.47500 0.175636 -1.12862 10.3266 0.935363
2.48000 0.174378 -1.12460 10.0789 0.923416
2.48500 0.169291 -1.11967 9.72919 0.909641
2.49000 0.165225 -1.11529 9.29846 0.902422
2.49500 0.164553 -1.11125 9.09634 0.890348
2.50000 0.161275 -1.10658 8.76266 0.878627
