T M E Susceptibility Cv
2.00000 0.911227 -1.74544 0.384711 0.726864
2.00500 0.909758 -1.74200 0.390865 0.733275
2.01000 0.907808 -1.73817 0.432023 0.749385
2.01500 0.906087 -1.73443 0.432486 0.754678
2.02000 0.904161 -1.73036 0.466703 0.765831
2.02500 0.902542 -1.72689 0.478396 0.775632
2.03000 0.900699 -1.72296 0.510414 0.790171
2.03500 0.898571 -1.71871 0.531364 0.801951
2.04000 0.896705 -1.71487 0.536024 0.808124
2.04500 0.895130 -1.71103 0.528636 0.812827
2.05000 0.892829 -1.70677 0.583523 0.829489
2.05500 0.891353 -1.70335 0.570712 0.833872
2.06000 0.888619 -1.69848 0.632557 0.858640
2.06500 0.885506 -1.69311 0.703862 0.876366
2.07000 0.884183 -1.69011 0.700444 0.877349
2.07500 0.882030 -1.68545 0.678441 0.887772
2.08000 0.878904 -1.68041 0.786238 0.910731
2.08500 0.876121 -1.67557 0.839473 0.922575
2.09000 0.874230 -1.67159 0.851207 0.931065
2.09500 0.871540 -1.66702 0.894182 0.945801
2.10000 0.867778 -1.66129 1.00043 0.969505
2.10500 0.866178 -1.65773 0.976342 0.975747
2.11000 0.862795 -1.65210 1.05848 0.993039
2.11500 0.859440 -1.64715 1.19271 1.01964
2.12000 0.856838 -1.64239 1.21960 1.02377
2.12500 0.853108 -1.63675 1.30127 1.04566
2.13000 0.850264 -1.63179 1.34171 1.05605
2.13500 0.847450 -1.62693 1.38217 1.06801
2.14000 0.843939 -1.62138 1.45529 1.09222
2.14500 0.838643 -1.61455 1.62431 1.12525
2.15000 0.836217 -1.61007 1.67543 1.13577
2.15500 0.832826 -1.60505 1.78868 1.14101
2.16000 0.826436 -1.59761 2.02430 1.18453
2.16500 0.823568 -1.59262 2.07394 1.19597
2.17000 0.817963 -1.58576 2.28688 1.21740
2.17500 0.815358 -1.58022 2.18919 1.22190
2.18000 0.811247 -1.57501 2.37212 1.24484
2.18500 0.804030 -1.56708 2.65115 1.28415
2.19000 0.799752 -1.56068 2.73234 1.29432
2.19500 0.796516 -1.55572 2.75495 1.29849
2.20000 0.790335 -1.54836 2.96532 1.33379
2.20500 0.784821 -1.54148 3.13346 1.36008
2.21000 0.779384 -1.53522 3.35968 1.37044
2.21500 0.771725 -1.52719 3.64646 1.41490
2.22000 0.767013 -1.52132 3.75968 1.42516
2.22500 0.758591 -1.51275 4.14369 1.46330
2.23000 0.754502 -1.50662 4.10922 1.46522
2.23500 0.748522 -1.49961 4.27949 1.46845
2.24000 0.740702 -1.49237 4.63144 1.50857
2.24500 0.728152 -1.48098 5.15953 1.55724
2.25000 0.725818 -1.47637 5.06216 1.54809
2.25500 0.719110 -1.46966 5.32480 1.56602
2.26000 0.713739 -1.46294 5.42289 1.56710
2.26500 0.700565 -1.45163 5.87056 1.59999
2.27000 0.693150 -1.44395 6.00258 1.61200
2.27500 0.684989 -1.43621 6.28885 1.61334
2.28000 0.677762 -1.42894 6.48404 1.63034
2.28500 0.666645 -1.41953 6.86133 1.65636
2.29000 0.656677 -1.41074 7.04615 1.64797
2.29500 0.646860 -1.40194 7.35430 1.67259
2.30000 0.639575 -1.39456 7.42008 1.65448
2.30500 0.628901 -1.38563 7.66347 1.65380
2.31000 0.620045 -1.37799 7.94975 1.67944
2.31500 0.614164 -1.37061 7.77562 1.64729
2.32000 0.603265 -1.36212 8.17806 1.66111
2.32500 0.593351 -1.35355 8.27765 1.64875
2.33000 0.579824 -1.34354 8.60772 1.65430
2.33500 0.572909 -1.33734 8.67004 1.63976
2.34000 0.559599 -1.32666 8.87328 1.63497
2.34500 0.555793 -1.32131 8.74683 1.61481
2.35000 0.547017 -1.31382 8.83994 1.60482
2.35500 0.537027 -1.30450 8.69087 1.57160
2.36000 0.523028 -1.29546 9.01331 1.57062
2.36500 0.513552 -1.28715 9.04013 1.55515
2.37000 0.505161 -1.28016 9.05450 1.53356
2.37500 0.492799 -1.27145 9.10446 1.51677
2.38000 0.487096 -1.26542 9.06426 1.49296
2.38500 0.476820 -1.25711 9.02450 1.48225
2.39000 0.466781 -1.24913 8.97129 1.45293
2.39500 0.462547 -1.24377 8.91910 1.43656
2.40000 0.453167 -1.23609 8.79580 1.41128
2.40500 0.445834 -1.23047 8.80754 1.38993
2.41000 0.436069 -1.22240 8.68749 1.35811
2.41500 0.426009 -1.21482 8.62223 1.33581
2.42000 0.422413 -1.21030 8.56338 1.32618
2.42500 0.410348 -1.20162 8.38976 1.28605
2.43000 0.406625 -1.19666 8.28290 1.27786
2.43500 0.398461 -1.19024 8.16006 1.24707
2.44000 0.390735 -1.18358 8.03711 1.21905
2.44500 0.385339 -1.17849 7.95368 1.20429
2.45000 0.380108 -1.17247 7.71855 1.17635
2.45500 0.370588 -1.16565 7.61530 1.15378
2.46000 0.365161 -1.16074 7.55272 1.14467
2.46500 0.361384 -1.15614 7.44486 1.12474
2.47000 0.355754 -1.15040 7.36044 1.11632
2.47500 0.349123 -1.14456 7.12548 1.08131
2.48000 0.342018 -1.13888 7.06089 1.06440
2.48500 0.335988 -1.13382 6.92664 1.04760
2.49000 0.330632 -1.12821 6.71396 1.02357
2.49500 0.325158 -1.12313 6.70639 1.02074
2.50000 0.320153 -1.11786 6.48458 0.991591
