MC_samples M E
248 0.963407 -1.95871
249 0.963554 -1.95888
250 0.9637 -1.95904
251 0.963845 -1.9592
252 0.963988 -1.95937
253 0.96413 -1.95953
254 0.964272 -1.95969
255 0.964412 -1.95984
256 0.964551 -1.96
257 0.964669 -1.96008
258 0.964806 -1.96023
259 0.964942 -1.96039
260 0.965077 -1.96054
261 0.965211 -1.96069
262 0.965344 -1.96084
263 0.965475 -1.96099
264 0.965606 -1.96114
265 0.965736 -1.96128
266 0.965865 -1.96143
267 0.965993 -1.96157
268 0.966119 -1.96172
269 0.966245 -1.96186
270 0.96637 -1.962
271 0.966494 -1.96214
272 0.966618 -1.96228
273 0.96674 -1.96242
274 0.966861 -1.96255
275 0.966982 -1.96269
276 0.967101 -1.96283
277 0.96722 -1.96296
278 0.967338 -1.96309
279 0.967455 -1.96323
280 0.967571 -1.96336
281 0.967687 -1.96349
282 0.967784 -1.96355
283 0.967898 -1.96367
284 0.968011 -1.9638
285 0.968123 -1.96393
286 0.968234 -1.96406
287 0.968345 -1.96418
288 0.968455 -1.96431
289 0.968564 -1.96443
290 0.968672 -1.96455
291 0.968763 -1.9646
292 0.96887 -1.96473
293 0.968976 -1.96485
294 0.969082 -1.96497
295 0.969186 -1.96508
296 0.969291 -1.9652
297 0.969394 -1.96532
298 0.969497 -1.96544
299 0.969599 -1.96555
300 0.9697 -1.96567
301 0.969784 -1.96571
302 0.969884 -1.96583
303 0.969983 -1.96594
304 0.970082 -1.96605
305 0.97018 -1.96616
306 0.970278 -1.96627
307 0.970375 -1.96638
308 0.970471 -1.96649
309 0.970566 -1.9666
310 0.970661 -1.96671
311 0.970756 -1.96682
312 0.970849 -1.96692
313 0.970942 -1.96703
314 0.971035 -1.96713
315 0.971127 -1.96724
316 0.971218 -1.96734
317 0.971309 -1.96744
318 0.971399 -1.96755
319 0.971489 -1.96765
320 0.971562 -1.96769
321 0.971651 -1.96779
322 0.971739 -1.96789
323 0.971827 -1.96799
324 0.971914 -1.96809
325 0.972 -1.96818
326 0.972086 -1.96828
327 0.972171 -1.96838
328 0.972256 -1.96848
329 0.97234 -1.96857
330 0.972424 -1.96867
331 0.972508 -1.96876
332 0.97259 -1.96886
333 0.972673 -1.96895
334 0.97274 -1.96898
335 0.972806 -1.96901
336 0.972887 -1.96911
337 0.972967 -1.9692
338 0.973047 -1.96929
339 0.973127 -1.96938
340 0.973206 -1.96947
341 0.973284 -1.96956
342 0.973363 -1.96965
343 0.97344 -1.96974
344 0.973517 -1.96983
345 0.973594 -1.96991
346 0.973671 -1.97
347 0.973746 -1.97009
348 0.973822 -1.97017
349 0.973897 -1.97026
350 0.973971 -1.97034
351 0.974046 -1.97043
352 0.974119 -1.97051
353 0.974193 -1.97059
354 0.974266 -1.97068
355 0.974338 -1.97076
356 0.97441 -1.97084
357 0.974482 -1.97092
358 0.974553 -1.97101
359 0.974624 -1.97109
360 0.974694 -1.97117
361 0.974765 -1.97125
362 0.974834 -1.97133
363 0.974904 -1.9714
364 0.974973 -1.97148
365 0.975041 -1.97156
366 0.975109 -1.97164
367 0.975177 -1.97172
368 0.975245 -1.97179
369 0.975312 -1.97187
370 0.975378 -1.97195
371 0.975445 -1.97202
372 0.975511 -1.9721
373 0.975576 -1.97217
374 0.975642 -1.97225
