MC_samples M E
1 0.14 -0.86
2 0.1325 -0.975
3 0.155 -1.05
4 0.175 -1.1425
5 0.195 -1.208
6 0.2125 -1.25333
7 0.229286 -1.29143
8 0.244375 -1.325
9 0.258333 -1.35333
10 0.268 -1.377
11 0.276818 -1.39636
12 0.28375 -1.415
13 0.289231 -1.43077
14 0.292143 -1.44571
15 0.291 -1.458
16 0.2925 -1.46813
17 0.293235 -1.47647
18 0.295278 -1.48667
19 0.296053 -1.49421
20 0.2975 -1.5015
21 0.29881 -1.50905
22 0.300909 -1.51545
23 0.302826 -1.52217
24 0.304167 -1.52875
25 0.3058 -1.5352
26 0.307115 -1.54154
27 0.308333 -1.54778
28 0.309464 -1.55357
29 0.31069 -1.55931
30 0.3115 -1.56467
31 0.312903 -1.57
32 0.314063 -1.57469
33 0.315606 -1.57939
34 0.316912 -1.58412
35 0.317571 -1.58829
36 0.318889 -1.59194
37 0.321216 -1.59595
38 0.323289 -1.59895
39 0.326026 -1.60179
40 0.328125 -1.6045
41 0.331463 -1.60805
42 0.333452 -1.61119
43 0.335233 -1.61442
44 0.3375 -1.61705
45 0.339556 -1.62
46 0.341304 -1.62283
47 0.343298 -1.62553
48 0.345521 -1.62813
49 0.346837 -1.63061
50 0.3479 -1.6332
51 0.34902 -1.63569
52 0.350096 -1.63808
53 0.351321 -1.64038
54 0.353426 -1.64278
55 0.355727 -1.64491
56 0.35875 -1.64679
57 0.362018 -1.6486
58 0.365345 -1.65017
59 0.368136 -1.65203
60 0.370917 -1.65383
61 0.373689 -1.65557
62 0.37621 -1.65694
63 0.378651 -1.65841
64 0.381016 -1.65984
65 0.383462 -1.66123
66 0.385758 -1.66273
67 0.388134 -1.66448
68 0.390368 -1.66588
69 0.392536 -1.66725
70 0.394643 -1.66857
71 0.396761 -1.66972
72 0.398681 -1.67097
73 0.400959 -1.67151
74 0.403243 -1.67243
75 0.406133 -1.67347
76 0.408882 -1.67461
77 0.411623 -1.67545
78 0.414551 -1.67641
79 0.417342 -1.67734
80 0.420625 -1.67813
81 0.423519 -1.67889
82 0.426098 -1.67963
83 0.428614 -1.68036
84 0.43131 -1.68131
85 0.434059 -1.68235
86 0.436977 -1.68314
87 0.43977 -1.68391
88 0.442557 -1.68489
89 0.445449 -1.68562
90 0.448444 -1.68656
91 0.451538 -1.68791
92 0.454946 -1.68935
93 0.458441 -1.69086
94 0.462234 -1.69255
95 0.466105 -1.69411
96 0.470104 -1.69594
97 0.474227 -1.69773
98 0.478418 -1.69949
99 0.482576 -1.70101
100 0.4865 -1.7028
101 0.490347 -1.70455
102 0.494167 -1.70637
103 0.497961 -1.70806
104 0.501683 -1.70971
105 0.505571 -1.71124
106 0.509481 -1.71274
107 0.513364 -1.71439
108 0.517407 -1.7162
109 0.521468 -1.71807
110 0.525591 -1.72018
111 0.529775 -1.72243
112 0.533884 -1.72464
113 0.538009 -1.72708
114 0.542061 -1.72947
115 0.546043 -1.73183
116 0.549957 -1.73414
117 0.553803 -1.73641
118 0.557585 -1.73864
119 0.561303 -1.74084
120 0.564958 -1.743
121 0.568554 -1.74512
122 0.57209 -1.74721
123 0.575569 -1.74927
124 0.578992 -1.75129
125 0.58236 -1.75328
126 0.585675 -1.75524
127 0.588937 -1.75717
128 0.592148 -1.75906
129 0.595271 -1.76078
130 0.598385 -1.76262
131 0.60145 -1.76443
132 0.604432 -1.76606
133 0.607368 -1.76767
134 0.610299 -1.7694
135 0.613185 -1.77111
136 0.616029 -1.77279
137 0.618832 -1.77445
138 0.621594 -1.77609
139 0.624317 -1.7777
140 0.627 -1.77929
141 0.629645 -1.78085
142 0.632218 -1.78225
143 0.63479 -1.78378
144 0.637326 -1.78528
145 0.639828 -1.78676
146 0.642295 -1.78822
147 0.644728 -1.78966
148 0.647128 -1.79108
149 0.649497 -1.79248
150 0.651833 -1.79387
151 0.654139 -1.79523
152 0.656414 -1.79658
153 0.65866 -1.79791
154 0.660877 -1.79922
155 0.663065 -1.80052
156 0.665224 -1.80179
157 0.667357 -1.80306
158 0.669462 -1.8043
159 0.671541 -1.80553
160 0.673594 -1.80675
161 0.675621 -1.80795
162 0.677623 -1.80914
163 0.679601 -1.81031
164 0.681555 -1.81146
165 0.683485 -1.81261
166 0.685392 -1.81373
167 0.687275 -1.81485
168 0.689137 -1.81595
169 0.690976 -1.81704
170 0.692794 -1.81812
171 0.694591 -1.81918
172 0.696366 -1.82023
173 0.698121 -1.82127
174 0.699828 -1.82218
175 0.701543 -1.8232
176 0.703239 -1.8242
177 0.704915 -1.8252
178 0.706573 -1.82618
179 0.708212 -1.82715
180 0.709833 -1.82811
181 0.711436 -1.82906
182 0.713022 -1.83
183 0.71459 -1.83093
184 0.716141 -1.83185
185 0.717676 -1.83276
186 0.719194 -1.83366
187 0.720695 -1.83455
188 0.722181 -1.83543
189 0.723651 -1.8363
190 0.725105 -1.83716
191 0.726545 -1.83801
192 0.727969 -1.83885
193 0.729378 -1.83969
194 0.730747 -1.84041
195 0.732103 -1.84113
196 0.733469 -1.84194
197 0.734822 -1.84274
198 0.736162 -1.84354
199 0.737487 -1.84432
200 0.7388 -1.8451
201 0.7401 -1.84587
202 0.741386 -1.84663
203 0.742611 -1.84719
204 0.743873 -1.84794
205 0.745122 -1.84868
206 0.746359 -1.84942
