MC_samples M E
248 0.459032 -1.22427
249 0.45749 -1.22333
250 0.45574 -1.2224
251 0.454064 -1.22124
252 0.45248 -1.2202
253 0.451107 -1.21941
254 0.449783 -1.2187
255 0.448667 -1.2182
256 0.447461 -1.21777
257 0.446362 -1.21728
258 0.44564 -1.21694
259 0.444788 -1.21668
260 0.443788 -1.21677
261 0.442893 -1.21701
262 0.442042 -1.21695
263 0.441464 -1.21696
264 0.440777 -1.21655
265 0.440019 -1.21608
266 0.439549 -1.21579
267 0.43927 -1.21573
268 0.439067 -1.21556
269 0.439071 -1.21524
270 0.438944 -1.21489
271 0.438985 -1.21461
272 0.438952 -1.21426
273 0.439212 -1.21436
274 0.439361 -1.21434
275 0.439436 -1.2144
276 0.43942 -1.2142
277 0.439296 -1.21401
278 0.438885 -1.21353
279 0.43828 -1.21294
280 0.437714 -1.21214
281 0.437011 -1.21117
282 0.436401 -1.21071
283 0.435919 -1.21042
284 0.435458 -1.20989
285 0.43486 -1.20947
286 0.434528 -1.2093
287 0.434233 -1.20892
288 0.433802 -1.20858
289 0.433702 -1.20844
290 0.433276 -1.20807
291 0.432595 -1.20763
292 0.431901 -1.2075
293 0.430956 -1.20717
294 0.42966 -1.2066
295 0.428576 -1.20661
296 0.427601 -1.20659
297 0.426768 -1.20673
298 0.425587 -1.20681
299 0.424431 -1.20669
300 0.42345 -1.2067
301 0.422591 -1.20658
302 0.422036 -1.20679
303 0.421502 -1.20673
304 0.420839 -1.20681
305 0.420131 -1.20652
306 0.41933 -1.20621
307 0.418371 -1.2059
308 0.417614 -1.20565
309 0.416828 -1.20553
310 0.416145 -1.20552
311 0.415338 -1.20547
312 0.414583 -1.20532
313 0.413722 -1.20524
314 0.412994 -1.20529
315 0.412286 -1.20498
316 0.41144 -1.20472
317 0.410868 -1.20442
318 0.410393 -1.20421
319 0.410031 -1.20408
320 0.40975 -1.20378
321 0.409377 -1.20383
322 0.408742 -1.20394
323 0.40808 -1.20449
324 0.407392 -1.20438
325 0.406615 -1.204
326 0.40592 -1.20356
327 0.405183 -1.203
328 0.404436 -1.20226
329 0.403784 -1.20128
330 0.40297 -1.20055
331 0.401934 -1.19997
332 0.400828 -1.19904
333 0.399655 -1.19865
334 0.398488 -1.19862
335 0.397582 -1.19901
336 0.396652 -1.19923
337 0.395727 -1.19917
338 0.394896 -1.19888
339 0.394322 -1.1985
340 0.393706 -1.19791
341 0.393138 -1.19777
342 0.392558 -1.19754
343 0.391895 -1.19743
344 0.39125 -1.19698
345 0.390623 -1.19675
346 0.389913 -1.19656
347 0.389063 -1.19628
348 0.388635 -1.19626
349 0.388181 -1.1961
350 0.387686 -1.19591
351 0.387151 -1.19547
352 0.386804 -1.19503
353 0.386629 -1.19419
354 0.386229 -1.19379
355 0.385746 -1.19355
356 0.385379 -1.19295
357 0.384944 -1.19255
358 0.384344 -1.19212
359 0.383593 -1.19195
360 0.383153 -1.19156
361 0.382715 -1.19119
362 0.382265 -1.19105
363 0.381749 -1.19099
364 0.381181 -1.19104
365 0.380644 -1.19096
366 0.380178 -1.19049
367 0.379918 -1.19016
368 0.379647 -1.19003
369 0.37939 -1.19003
370 0.379419 -1.18984
371 0.379394 -1.18989
372 0.379341 -1.18968
373 0.379276 -1.19003
374 0.379291 -1.19011
375 0.37944 -1.19016
376 0.379641 -1.19032
377 0.379655 -1.19032
378 0.379392 -1.19011
379 0.378958 -1.18955
380 0.378868 -1.18929
381 0.378478 -1.18858
382 0.378102 -1.18822
383 0.37782 -1.18786
384 0.377773 -1.18779
385 0.377597 -1.18758
386 0.377293 -1.18733
387 0.376951 -1.18669
388 0.376881 -1.18637
389 0.376967 -1.18625
390 0.376936 -1.18615
391 0.376688 -1.18586
392 0.376518 -1.18584
393 0.376514 -1.18565
394 0.376421 -1.18563
395 0.376316 -1.18534
396 0.376086 -1.1853
397 0.375819 -1.18516
398 0.375616 -1.1848
399 0.375201 -1.18469
400 0.374825 -1.1846
401 0.374489 -1.18469
402 0.374192 -1.1849
403 0.373797 -1.18506
