MC_samples M E
248 0.493327 -1.22847
249 0.494398 -1.2292
250 0.49548 -1.22992
251 0.496594 -1.23076
252 0.49746 -1.23127
253 0.498123 -1.23162
254 0.49874 -1.23169
255 0.499196 -1.2318
256 0.499375 -1.23168
257 0.499805 -1.23198
258 0.500097 -1.23244
259 0.500309 -1.23236
260 0.500154 -1.23219
261 0.499693 -1.23161
262 0.499275 -1.23115
263 0.49865 -1.23076
264 0.497955 -1.23038
265 0.497302 -1.23011
266 0.496898 -1.22985
267 0.496873 -1.22978
268 0.497146 -1.23015
269 0.497323 -1.23059
270 0.497389 -1.23093
271 0.497435 -1.23092
272 0.497537 -1.2311
273 0.497436 -1.2307
274 0.497336 -1.23036
275 0.497018 -1.22996
276 0.49663 -1.22946
277 0.496372 -1.22881
278 0.496025 -1.22831
279 0.495663 -1.22796
280 0.495393 -1.22807
281 0.495356 -1.22779
282 0.495319 -1.22734
283 0.495689 -1.22749
284 0.495687 -1.22761
285 0.495614 -1.22761
286 0.495437 -1.22769
287 0.495209 -1.22735
288 0.49526 -1.2276
289 0.495381 -1.22813
290 0.49531 -1.22845
291 0.495395 -1.22852
292 0.495462 -1.22873
293 0.49541 -1.22887
294 0.495578 -1.22861
295 0.495576 -1.22824
296 0.495321 -1.22791
297 0.494983 -1.22754
298 0.494983 -1.22742
299 0.4951 -1.22753
300 0.495217 -1.2278
301 0.495183 -1.22814
302 0.495017 -1.22828
303 0.494917 -1.22888
304 0.494688 -1.22888
305 0.494459 -1.22875
306 0.494297 -1.22873
307 0.494202 -1.22798
308 0.494383 -1.2274
309 0.494725 -1.22718
310 0.495323 -1.22771
311 0.495965 -1.2282
312 0.496779 -1.22891
313 0.497492 -1.22936
314 0.498185 -1.22959
315 0.498746 -1.22975
316 0.49932 -1.23016
317 0.500047 -1.23091
318 0.500818 -1.23189
319 0.501458 -1.2327
320 0.501984 -1.23331
321 0.502601 -1.23396
322 0.50323 -1.23453
323 0.503885 -1.23495
324 0.504444 -1.23515
325 0.505169 -1.23572
326 0.505813 -1.23589
327 0.506346 -1.23596
328 0.506905 -1.23616
329 0.507356 -1.23617
330 0.507773 -1.2363
331 0.507915 -1.23625
332 0.508298 -1.23614
333 0.508604 -1.23658
334 0.509012 -1.23707
335 0.509418 -1.23725
336 0.509866 -1.23738
337 0.510297 -1.23724
338 0.510828 -1.23704
339 0.511313 -1.23699
340 0.511882 -1.23732
341 0.512434 -1.23777
342 0.513056 -1.23827
343 0.513746 -1.23904
344 0.514404 -1.23965
345 0.514971 -1.2402
346 0.515347 -1.24043
347 0.515706 -1.24029
348 0.516379 -1.24069
349 0.517006 -1.24115
350 0.517814 -1.2418
351 0.518234 -1.24177
352 0.518665 -1.24193
353 0.519093 -1.24212
354 0.519534 -1.24223
355 0.519873 -1.24239
356 0.520365 -1.24256
357 0.52077 -1.24235
358 0.521089 -1.24229
359 0.521351 -1.2422
360 0.521917 -1.24253
361 0.522479 -1.24285
362 0.523108 -1.24315
363 0.52376 -1.24383
364 0.524327 -1.24442
365 0.524822 -1.24488
366 0.525369 -1.24519
367 0.525668 -1.2452
368 0.52606 -1.24527
369 0.526531 -1.24531
370 0.527095 -1.24565
371 0.527898 -1.24655
372 0.528589 -1.24734
373 0.528995 -1.24753
374 0.529251 -1.2477
375 0.529387 -1.24752
376 0.529548 -1.24769
377 0.529562 -1.24759
378 0.529709 -1.24796
379 0.529631 -1.24781
380 0.529474 -1.24784
381 0.529304 -1.24803
382 0.528966 -1.24814
383 0.528538 -1.24817
384 0.528021 -1.24794
385 0.527377 -1.248
386 0.52693 -1.24769
387 0.526357 -1.24739
388 0.525825 -1.24732
389 0.525347 -1.24715
390 0.524718 -1.24685
391 0.524271 -1.24657
392 0.523954 -1.24617
393 0.523601 -1.24593
394 0.523236 -1.24574
395 0.522532 -1.24544
396 0.521957 -1.24505
397 0.521637 -1.24491
398 0.521407 -1.24472
399 0.521165 -1.24451
400 0.52115 -1.24455
401 0.521247 -1.24454
402 0.521095 -1.24478
403 0.520819 -1.24474
404 0.520582 -1.24485
405 0.520407 -1.24481
406 0.520012 -1.24446
407 0.519693 -1.24398
408 0.51935 -1.24346
409 0.51901 -1.24328
410 0.518598 -1.24278
411 0.518029 -1.24229
412 0.517124 -1.24206
413 0.515884 -1.24189
414 0.514662 -1.24188
415 0.513458 -1.24188
416 0.512248 -1.24161
417 0.511151 -1.24137
418 0.510096 -1.24098
419 0.509105 -1.24081
420 0.508107 -1.24074
421 0.507328 -1.24071
422 0.506386 -1.2405
423 0.505225 -1.24033
424 0.504057 -1.24028
425 0.502918 -1.24033
426 0.501784 -1.24016
427 0.500632 -1.24
428 0.499638 -1.23988
429 0.498811 -1.23972
430 0.498116 -1.23979
431 0.497564 -1.23949
432 0.496991 -1.23914
433 0.496351 -1.23882
434 0.495668 -1.23859
435 0.49492 -1.23837
436 0.49406 -1.23778
437 0.493272 -1.23721
438 0.492557 -1.23689
439 0.491743 -1.23656
440 0.490886 -1.23632
441 0.490068 -1.23619
442 0.489344 -1.23579
443 0.488758 -1.23546
444 0.488209 -1.23538
445 0.487517 -1.23521
446 0.486906 -1.23518
447 0.486286 -1.23526
448 0.485592 -1.23542
449 0.484978 -1.23555
450 0.484578 -1.23558
451 0.484169 -1.23574
452 0.483706 -1.23573
453 0.483344 -1.23561
454 0.482742 -1.23544
455 0.482286 -1.23538
456 0.48193 -1.23496
457 0.481597 -1.23479
458 0.481179 -1.23474
459 0.480839 -1.23464
460 0.4805 -1.23474
461 0.479957 -1.23471
462 0.479491 -1.23448
463 0.478974 -1.2343
464 0.478308 -1.23412
465 0.477946 -1.23413
466 0.477672 -1.23414
467 0.47758 -1.23426
468 0.477489 -1.23412
469 0.477463 -1.23416
470 0.477415 -1.23419
471 0.477187 -1.23412
472 0.477055 -1.23398
473 0.477188 -1.23402
474 0.477289 -1.23388
475 0.477474 -1.23392
476 0.477563 -1.23376
477 0.477872 -1.23396
478 0.478054 -1.23387
479 0.478278 -1.23401
480 0.478615 -1.23448
481 0.478888 -1.2348
482 0.479098 -1.23481
483 0.479513 -1.23505
484 0.480031 -1.23527
485 0.480258 -1.23532
486 0.48035 -1.23527
487 0.480431 -1.23515
488 0.480492 -1.23488
489 0.480644 -1.23468
490 0.480745 -1.23453
491 0.480672 -1.23432
492 0.480549 -1.23411
493 0.480406 -1.23396
494 0.480455 -1.23399
495 0.480697 -1.234
496 0.481119 -1.23417
497 0.481549 -1.23437
498 0.482118 -1.23482
499 0.482735 -1.23537
500 0.48344 -1.23598
501 0.484032 -1.23639
502 0.484502 -1.23653
503 0.48498 -1.2368
504 0.485516 -1.23708
505 0.48603 -1.23727
506 0.48669 -1.23769
507 0.487327 -1.23805
508 0.488091 -1.23888
509 0.488713 -1.23935
510 0.489471 -1.24018
511 0.490196 -1.24088
512 0.490898 -1.2415
513 0.491676 -1.24228
514 0.492393 -1.24302
515 0.493068 -1.24359
