3.65725	-9.33816	0.0167778	
3.65743	-9.33808	0.0167694	
3.65761	-9.33801	0.016761	
3.65778	-9.33794	0.0167526	
3.65796	-9.33786	0.0167442	
3.65814	-9.33779	0.0167359	
3.65832	-9.33771	0.0167275	
3.6585	-9.33764	0.0167191	
3.65868	-9.33757	0.0167107	
3.65885	-9.33749	0.0167023	
3.65903	-9.33742	0.0166939	
3.65921	-9.33735	0.0166855	
3.65939	-9.33727	0.0166771	
3.65957	-9.3372	0.0166688	
3.65975	-9.33712	0.0166604	
3.65992	-9.33705	0.016652	
3.6601	-9.33698	0.0166436	
3.66028	-9.3369	0.0166352	
3.66046	-9.33683	0.0166268	
3.66064	-9.33676	0.0166184	
3.66082	-9.33668	0.01661	
3.661	-9.33661	0.0166017	
3.66117	-9.33653	0.0165933	
3.66135	-9.33646	0.0165849	
3.66153	-9.33639	0.0165765	
3.66171	-9.33631	0.0165681	
3.66189	-9.33624	0.0165597	
3.66207	-9.33617	0.0165513	
3.66224	-9.33609	0.0165429	
3.66242	-9.33602	0.0165346	
3.6626	-9.33594	0.0165262	
3.66278	-9.33587	0.0165178	
3.66296	-9.3358	0.0165094	
3.66314	-9.33572	0.016501	
3.66331	-9.33565	0.0164926	
3.66349	-9.33557	0.0164842	
3.66367	-9.3355	0.0164758	
3.66385	-9.33543	0.0164675	
3.66403	-9.33535	0.0164591	
3.66421	-9.33528	0.0164507	
3.66438	-9.33521	0.0164423	
3.66456	-9.33513	0.0164339	
3.66474	-9.33506	0.0164255	
3.66492	-9.33498	0.0164171	
3.6651	-9.33491	0.0164087	
3.66528	-9.33484	0.0164004	
3.66545	-9.33476	0.016392	
3.66563	-9.33469	0.0163836	
3.66581	-9.33461	0.0163752	
3.66599	-9.33454	0.0163668	
3.66617	-9.33447	0.0163584	
3.66635	-9.33439	0.01635	
3.66652	-9.33432	0.0163416	
3.6667	-9.33424	0.0163332	
3.66688	-9.33417	0.0163249	
3.66706	-9.3341	0.0163165	
3.66724	-9.33402	0.0163081	
