T M E Susceptibility Cv
T M E Susceptibility Cv
2.00000 0.815888 -1.56835 15.7415 28.0634
2.05000 0.799545 -1.53337 14.8181 25.6956
2.10000 0.778175 -1.49343 13.9918 23.3975
2.15000 0.751058 -1.44904 13.4950 21.2405
2.20000 0.704203 -1.38948 13.1580 19.0175
2.25000 0.637404 -1.32187 13.8479 16.8195
2.30000 0.577121 -1.25493 13.0059 14.7306
2.35000 0.487104 -1.18080 12.7272 12.6899
2.40000 0.406833 -1.11100 10.9070 10.7763
