T M E Susceptibility Cv
2.10000 0.868870 -1.66209 0.924080 0.959639
2.15000 0.836122 -1.61009 1.82830 1.13366
2.20000 0.786852 -1.54738 4.11288 1.39325
2.25000 0.685325 -1.46441 15.6324 1.85822
2.30000 0.525517 -1.36712 29.5786 2.00700
2.35000 0.356397 -1.27584 28.0383 1.58672
2.40000 0.257904 -1.20796 18.9928 1.21907
2.45000 0.195824 -1.15292 12.4818 1.00772
2.50000 0.161996 -1.10687 8.83595 0.881431
