T M E Susceptibility Cv
2.10000 0.868057 -1.66137 0.948688 0.964158
2.15000 0.835973 -1.61006 1.71624 1.12879
2.20000 0.792264 -1.54988 2.87215 1.32029
2.25000 0.725423 -1.47629 5.11478 1.54561
2.30000 0.639406 -1.39491 7.52815 1.65995
2.35000 0.543050 -1.31222 9.01111 1.61103
2.40000 0.452647 -1.23616 8.79636 1.39871
2.45000 0.377797 -1.17199 7.77652 1.18161
2.50000 0.320079 -1.11815 6.49950 0.992711
