T M E Susceptibility Cv
2.10000 0.868882 -1.66217 0.936952 0.955435
2.15000 0.836188 -1.61014 1.81494 1.14487
2.20000 0.784921 -1.54658 4.79560 1.41374
2.25000 0.673132 -1.46379 45.9083 2.09079
2.30000 0.333619 -1.34864 145.991 2.16552
2.35000 0.157162 -1.26617 54.0907 1.43048
2.40000 0.103831 -1.20429 26.2283 1.18294
2.45000 0.0770373 -1.15220 14.9109 1.03162
2.50000 0.0642837 -1.10634 10.3060 0.913333
