T M E Susceptibility Cv
T M E Susceptibility Cv
2.00000 0.393254 -1.51946 647.352 647.764
2.05000 0.508586 -1.49595 640.236 598.326
2.10000 0.582228 -1.46520 584.678 547.326
2.15000 0.555359 -1.41837 521.288 489.512
2.20000 0.549046 -1.36660 435.603 434.171
2.25000 0.395718 -1.28817 349.216 368.208
2.30000 0.246707 -1.20579 164.134 307.760
2.35000 0.126601 -1.13666 50.7958 261.481
2.40000 0.0853012 -1.08262 22.8895 227.330
