T M E Susceptibility Cv
2.10000 0.868824 -1.66220 0.965690 0.963531
2.15000 0.835699 -1.60964 1.76928 1.14172
2.20000 0.781415 -1.54575 8.06842 1.45822
2.25000 0.679307 -1.46362 22.9426 1.95525
2.30000 0.458038 -1.35912 62.2142 2.13895
2.35000 0.258177 -1.26867 41.9604 1.48026
2.40000 0.173192 -1.20522 22.8610 1.16460
2.45000 0.128985 -1.15223 13.3907 0.991730
2.50000 0.106150 -1.10634 9.27514 0.878925
