MC_samples M E
1 0.005 -0.56
2 0.0125 -0.6
3 0.02 -0.656667
4 0.045 -0.71
5 0.05 -0.73
6 0.0566667 -0.741667
7 0.0685714 -0.78
8 0.084375 -0.82375
9 0.108333 -0.868889
10 0.13 -0.896
11 0.148636 -0.916364
12 0.162083 -0.935833
13 0.175769 -0.952308
14 0.185357 -0.971429
15 0.194 -0.984
16 0.2025 -0.995625
17 0.212941 -1.00412
18 0.2225 -1.00222
19 0.237105 -1.00474
20 0.2495 -1.007
21 0.261429 -1.01
22 0.273864 -1.01
23 0.288478 -1.01696
24 0.303958 -1.02875
25 0.3198 -1.0396
26 0.331923 -1.04885
27 0.345556 -1.06037
28 0.358393 -1.07143
29 0.37069 -1.07966
30 0.379 -1.08533
31 0.387581 -1.08806
32 0.395 -1.08937
33 0.404242 -1.09424
34 0.414412 -1.10176
35 0.423714 -1.11
36 0.433889 -1.11972
37 0.442703 -1.12568
38 0.450658 -1.13132
39 0.458974 -1.13821
40 0.4655 -1.1435
41 0.472073 -1.14805
42 0.47869 -1.15548
43 0.485349 -1.16
44 0.492159 -1.16818
45 0.498333 -1.174
46 0.503696 -1.17935
47 0.51 -1.18766
48 0.515104 -1.19417
49 0.520816 -1.19939
50 0.5273 -1.2058
51 0.534314 -1.2151
52 0.540481 -1.22154
53 0.546226 -1.22736
54 0.550556 -1.23111
55 0.554727 -1.23527
56 0.5575 -1.2375
57 0.559912 -1.23982
58 0.561983 -1.24172
59 0.564068 -1.24373
60 0.564667 -1.2425
61 0.565246 -1.24049
62 0.566774 -1.24177
63 0.56873 -1.24222
64 0.571328 -1.24297
65 0.573692 -1.24523
66 0.576591 -1.24773
67 0.580149 -1.25104
68 0.583088 -1.25324
69 0.585942 -1.25594
70 0.589 -1.25914
71 0.592254 -1.26211
72 0.594861 -1.26403
73 0.597945 -1.26726
74 0.601284 -1.27054
75 0.6036 -1.272
76 0.606513 -1.27421
77 0.609481 -1.27688
78 0.611667 -1.27872
79 0.613987 -1.28089
80 0.6165 -1.284
81 0.618951 -1.28654
82 0.621037 -1.28805
83 0.622711 -1.28904
84 0.625119 -1.29226
85 0.627412 -1.29447
86 0.630058 -1.29791
87 0.632529 -1.30057
88 0.634375 -1.30182
89 0.636124 -1.30371
90 0.637722 -1.30478
