MC_samples M E
1 0.955 -1.83
2 0.9425 -1.805
3 0.916667 -1.73333
4 0.88625 -1.6375
5 0.875 -1.61
6 0.875 -1.605
7 0.872857 -1.60571
8 0.86625 -1.59625
9 0.861111 -1.58333
10 0.8615 -1.583
11 0.861364 -1.58091
12 0.853333 -1.56333
13 0.846923 -1.55154
14 0.842143 -1.54429
15 0.832667 -1.52733
16 0.825625 -1.51313
17 0.81 -1.49235
18 0.793889 -1.475
19 0.778421 -1.46053
20 0.76575 -1.449
21 0.756905 -1.43952
22 0.750455 -1.43136
23 0.743478 -1.42522
24 0.7325 -1.41708
25 0.722 -1.4108
26 0.713846 -1.40769
27 0.706852 -1.40519
28 0.69875 -1.39857
29 0.692931 -1.39138
30 0.689 -1.38333
31 0.686129 -1.37871
32 0.683437 -1.37406
33 0.681515 -1.37273
34 0.678824 -1.36971
35 0.676571 -1.36914
36 0.672361 -1.36333
37 0.667703 -1.36027
38 0.662237 -1.35447
39 0.657436 -1.34821
40 0.6515 -1.34375
41 0.645366 -1.33854
42 0.640952 -1.33571
43 0.636744 -1.33256
44 0.632273 -1.33068
45 0.628778 -1.32933
46 0.624891 -1.32957
47 0.621915 -1.32745
48 0.61875 -1.32625
49 0.616122 -1.3251
50 0.6127 -1.3248
51 0.60951 -1.32373
52 0.606538 -1.32346
53 0.603208 -1.32264
54 0.59963 -1.3213
55 0.597455 -1.32164
56 0.595714 -1.32036
57 0.593947 -1.31754
58 0.592241 -1.31603
59 0.592034 -1.31593
60 0.590333 -1.31267
61 0.587787 -1.3082
62 0.585081 -1.30339
63 0.581825 -1.30079
64 0.578125 -1.29844
65 0.575231 -1.298
66 0.572576 -1.29848
67 0.570149 -1.29627
68 0.56875 -1.29456
69 0.566884 -1.29319
70 0.564286 -1.28986
71 0.560352 -1.2862
72 0.5575 -1.28431
73 0.553973 -1.2826
74 0.55027 -1.28176
75 0.546133 -1.28107
76 0.541645 -1.27816
77 0.538442 -1.27545
78 0.534936 -1.27359
79 0.532215 -1.27165
80 0.52925 -1.2705
81 0.526605 -1.26926
82 0.523659 -1.26744
83 0.520783 -1.2653
84 0.518155 -1.2631
85 0.514706 -1.26106
86 0.511395 -1.25872
87 0.507356 -1.25793
88 0.503352 -1.25534
89 0.501011 -1.25371
90 0.498889 -1.25256
91 0.496264 -1.25132
92 0.493261 -1.25033
93 0.489624 -1.24935
94 0.487606 -1.24819
95 0.485737 -1.24811
96 0.484219 -1.24812
97 0.482526 -1.24887
98 0.481429 -1.24929
99 0.479646 -1.24879
100 0.47765 -1.249
101 0.47599 -1.24931
102 0.475 -1.24922
103 0.473981 -1.24786
104 0.473942 -1.24673
105 0.474381 -1.24505
106 0.474009 -1.24387
107 0.474206 -1.24364
108 0.474907 -1.24306
109 0.474771 -1.24119
110 0.475 -1.23991
111 0.474685 -1.23829
112 0.473973 -1.23562
113 0.473805 -1.23381
114 0.473465 -1.23193
115 0.473304 -1.23096
116 0.472888 -1.22948
117 0.473291 -1.22915
118 0.474364 -1.23
119 0.47521 -1.23143
120 0.476333 -1.23283
121 0.476983 -1.23413
122 0.477541 -1.23459
123 0.478455 -1.23472
124 0.479435 -1.23597
125 0.47976 -1.23672
126 0.480079 -1.23706
127 0.479882 -1.23701
128 0.480078 -1.23719
129 0.480116 -1.23798
130 0.479846 -1.23831
131 0.478931 -1.23809
132 0.478106 -1.23765
133 0.476955 -1.23707
134 0.475896 -1.23694
135 0.474667 -1.23615
136 0.473566 -1.23515
137 0.473467 -1.23445
138 0.474094 -1.23435
139 0.475108 -1.23453
140 0.476286 -1.23486
141 0.477057 -1.23546
142 0.477887 -1.2357
143 0.478322 -1.23531
144 0.479063 -1.23521
145 0.480034 -1.23552
146 0.481027 -1.23589
147 0.481837 -1.23558
148 0.482736 -1.23642
149 0.483792 -1.23671
150 0.484367 -1.237
151 0.485066 -1.23735
152 0.485625 -1.23645
153 0.48683 -1.23725
154 0.487727 -1.23734
155 0.488387 -1.23761
156 0.488269 -1.2375
157 0.488248 -1.23694
158 0.487975 -1.23677
159 0.487893 -1.23698
160 0.487594 -1.23769
161 0.486832 -1.23758
162 0.486204 -1.23704
163 0.485215 -1.23632
164 0.484024 -1.2361
165 0.482121 -1.23606
166 0.479669 -1.23548
167 0.477305 -1.23539
168 0.474673 -1.235
169 0.471893 -1.23479
170 0.469618 -1.23441
171 0.467222 -1.23456
172 0.465174 -1.23401
173 0.463121 -1.23358
174 0.460948 -1.2331
175 0.458657 -1.23269
176 0.456108 -1.23159
177 0.453785 -1.23006
178 0.451798 -1.22899
179 0.449693 -1.22816
180 0.447806 -1.22711
181 0.445884 -1.22602
182 0.444341 -1.22489
183 0.443197 -1.22361
184 0.442255 -1.22283
185 0.441757 -1.22281
186 0.441183 -1.22301
187 0.440588 -1.22273
188 0.439601 -1.22223
189 0.43828 -1.22148
190 0.436895 -1.22095
