MC_samples M E
251 0.998904 -1.9957
252 0.998889 -1.99563
253 0.998874 -1.99557
254 0.998878 -1.99559
255 0.998882 -1.99561
256 0.998887 -1.99562
257 0.998891 -1.99564
258 0.998895 -1.99566
259 0.9989 -1.99568
260 0.998904 -1.99569
261 0.998908 -1.99571
262 0.998912 -1.99573
263 0.998878 -1.99559
264 0.998864 -1.99553
265 0.998849 -1.99547
266 0.998853 -1.99549
267 0.998858 -1.99551
268 0.998843 -1.99545
269 0.998848 -1.99546
270 0.998833 -1.99541
271 0.998838 -1.99542
272 0.998842 -1.99544
273 0.998846 -1.99546
274 0.99885 -1.99547
275 0.998855 -1.99549
276 0.998859 -1.99551
277 0.998863 -1.99552
278 0.998867 -1.99554
279 0.998871 -1.99556
280 0.998875 -1.99557
281 0.998879 -1.99559
282 0.998865 -1.99553
283 0.998869 -1.99555
284 0.998856 -1.99549
285 0.998842 -1.99544
286 0.998829 -1.99538
287 0.998815 -1.99533
288 0.998819 -1.99535
289 0.998824 -1.99536
290 0.998828 -1.99538
291 0.998832 -1.9954
292 0.998836 -1.99541
293 0.99884 -1.99543
294 0.998844 -1.99544
295 0.998847 -1.99546
296 0.998851 -1.99547
297 0.998855 -1.99549
298 0.998859 -1.9955
299 0.998863 -1.99552
300 0.998867 -1.99553
301 0.99887 -1.99555
302 0.998874 -1.99556
303 0.998878 -1.99558
304 0.998882 -1.99559
305 0.998885 -1.99561
306 0.998889 -1.99562
307 0.998893 -1.99564
308 0.998896 -1.99565
309 0.998883 -1.9956
310 0.998887 -1.99561
311 0.998891 -1.99563
312 0.998878 -1.99558
313 0.998866 -1.99553
314 0.998869 -1.99554
315 0.998873 -1.99556
316 0.998877 -1.99557
317 0.99888 -1.99558
318 0.998868 -1.99553
319 0.998856 -1.99549
320 0.998828 -1.99538
321 0.998801 -1.99526
322 0.998789 -1.99522
323 0.998777 -1.99517
324 0.998765 -1.99512
325 0.998769 -1.99514
326 0.998773 -1.99515
327 0.998777 -1.99517
328 0.99878 -1.99518
329 0.998784 -1.9952
330 0.998788 -1.99521
331 0.998792 -1.99523
332 0.998795 -1.99524
333 0.998799 -1.99526
334 0.998802 -1.99527
335 0.998806 -1.99528
336 0.99881 -1.9953
337 0.998813 -1.99531
338 0.998817 -1.99533
339 0.998805 -1.99528
340 0.998809 -1.99529
341 0.998812 -1.99531
342 0.998801 -1.99526
343 0.998805 -1.99528
344 0.998808 -1.99529
345 0.998812 -1.9953
346 0.998801 -1.99526
347 0.99879 -1.99522
348 0.998793 -1.99523
349 0.998797 -1.99524
350 0.9988 -1.99526
351 0.998803 -1.99527
352 0.998807 -1.99528
353 0.99881 -1.9953
354 0.998814 -1.99531
355 0.998817 -1.99532
356 0.99882 -1.99534
357 0.998824 -1.99535
358 0.998827 -1.99536
359 0.99883 -1.99538
360 0.998833 -1.99539
361 0.998837 -1.9954
362 0.99884 -1.99541
363 0.998843 -1.99543
364 0.998846 -1.99544
365 0.998849 -1.99545
366 0.998852 -1.99546
367 0.998856 -1.99548
368 0.998859 -1.99549
369 0.998862 -1.9955
370 0.998865 -1.99551
371 0.998868 -1.99553
372 0.998871 -1.99554
373 0.998874 -1.99555
374 0.998877 -1.99556
375 0.99888 -1.99557
376 0.998883 -1.99559
377 0.998886 -1.9956
378 0.998889 -1.99561
379 0.998892 -1.99562
380 0.998895 -1.99563
381 0.998898 -1.99564
382 0.998901 -1.99565
383 0.998903 -1.99567
384 0.998906 -1.99568
385 0.998909 -1.99569
386 0.998912 -1.9957
387 0.998915 -1.99571
388 0.998918 -1.99572
389 0.99892 -1.99573
390 0.998923 -1.99574
391 0.998926 -1.99575
392 0.998916 -1.99571
393 0.998906 -1.99567
394 0.998909 -1.99569
395 0.998911 -1.9957
396 0.998914 -1.99571
397 0.998917 -1.99572
398 0.99892 -1.99573
399 0.998922 -1.99574
400 0.998925 -1.99575
401 0.998928 -1.99576
402 0.998918 -1.99572
403 0.998908 -1.99568
404 0.998911 -1.99569
405 0.998914 -1.9957
406 0.998904 -1.99567
407 0.998907 -1.99568
408 0.998909 -1.99569
409 0.998912 -1.9957
410 0.998902 -1.99566
411 0.998905 -1.99567
412 0.998908 -1.99568
413 0.99891 -1.99569
414 0.998913 -1.9957
415 0.998916 -1.99571
416 0.998918 -1.99572
417 0.998921 -1.99573
418 0.998923 -1.99574
419 0.998926 -1.99575
420 0.998929 -1.99576
421 0.998931 -1.99577
422 0.998934 -1.99578
423 0.998936 -1.99579
424 0.998939 -1.9958
425 0.998941 -1.99581
426 0.998944 -1.99582
427 0.998946 -1.99583
428 0.998949 -1.99584
429 0.998951 -1.99585
430 0.998953 -1.99586
431 0.998956 -1.99587
432 0.998958 -1.99588
433 0.998961 -1.99589
434 0.998963 -1.9959
435 0.998966 -1.99591
436 0.998968 -1.99592
437 0.99897 -1.99593
438 0.998973 -1.99594
439 0.998975 -1.99595
440 0.998977 -1.99595
441 0.99898 -1.99596
442 0.998982 -1.99597
443 0.998973 -1.99594
444 0.998975 -1.99595
445 0.998978 -1.99596
446 0.998969 -1.99592
447 0.998971 -1.99593
448 0.998973 -1.99594
449 0.998976 -1.99595
450 0.998978 -1.99596
451 0.99898 -1.99596
452 0.998982 -1.99597
453 0.998985 -1.99598
454 0.998987 -1.99599
455 0.998989 -1.996
456 0.998991 -1.99601
457 0.998982 -1.99597
458 0.998985 -1.99598
459 0.998987 -1.99599
460 0.998989 -1.996
461 0.998991 -1.99601
462 0.998983 -1.99597
463 0.998985 -1.99598
464 0.998987 -1.99599
465 0.998989 -1.996
466 0.998991 -1.99601
467 0.998994 -1.99602
468 0.998996 -1.99603
469 0.998998 -1.99603
470 0.999 -1.99604
471 0.999002 -1.99605
472 0.999004 -1.99606
473 0.999006 -1.99607
474 0.999008 -1.99608
475 0.999011 -1.99608
476 0.999013 -1.99609
477 0.999015 -1.9961
478 0.999017 -1.99611
479 0.999019 -1.99612
480 0.999021 -1.99612
481 0.999023 -1.99613
482 0.999025 -1.99614
483 0.999027 -1.99615
484 0.999029 -1.99616
485 0.999031 -1.99616
486 0.999023 -1.99613
487 0.999025 -1.99614
488 0.999027 -1.99615
489 0.999029 -1.99616
490 0.999031 -1.99616
491 0.999033 -1.99617
492 0.999035 -1.99618
493 0.999037 -1.99619
494 0.999038 -1.99619
495 0.99904 -1.9962
496 0.999042 -1.99621
497 0.999044 -1.99622
498 0.999036 -1.99618
499 0.999028 -1.99615
500 0.99902 -1.99612
501 0.999012 -1.99609
502 0.999014 -1.9961
503 0.999016 -1.9961
504 0.999018 -1.99611
505 0.99902 -1.99612
506 0.999022 -1.99613
507 0.999014 -1.99609
508 0.999016 -1.9961
509 0.999008 -1.99607
510 0.99901 -1.99608
511 0.999012 -1.99609
512 0.999004 -1.99605
513 0.998996 -1.99602
514 0.998979 -1.99595
515 0.998981 -1.99596
516 0.998983 -1.99597
517 0.998985 -1.99598
518 0.998986 -1.99598
519 0.998969 -1.99592
520 0.998952 -1.99585
521 0.998954 -1.99585
522 0.998946 -1.99582
523 0.998948 -1.99583
524 0.99895 -1.99584
525 0.998952 -1.99585
526 0.998954 -1.99586
527 0.998956 -1.99586
528 0.998958 -1.99587
529 0.99896 -1.99588
530 0.998962 -1.99589
531 0.998964 -1.99589
532 0.998966 -1.9959
533 0.998968 -1.99591
534 0.99897 -1.99592
535 0.998963 -1.99589
536 0.998965 -1.9959
537 0.998966 -1.9959
538 0.998968 -1.99591
539 0.99897 -1.99592
540 0.998972 -1.99593
541 0.998974 -1.99593
542 0.998976 -1.99594
543 0.998978 -1.99595
544 0.99898 -1.99596
545 0.998982 -1.99596
546 0.998984 -1.99597
547 0.998985 -1.99598
548 0.998987 -1.99599
549 0.998989 -1.99599
550 0.998991 -1.996
551 0.998993 -1.99601
552 0.998995 -1.99601
553 0.998996 -1.99602
554 0.998998 -1.99603
555 0.999 -1.99604
556 0.999002 -1.99604
557 0.999004 -1.99605
558 0.999005 -1.99606
559 0.999007 -1.99606
560 0.999009 -1.99607
561 0.999011 -1.99608
562 0.999012 -1.99609
563 0.999014 -1.99609
564 0.999016 -1.9961
565 0.999018 -1.99611
566 0.999019 -1.99611
567 0.999021 -1.99612
568 0.999023 -1.99613
569 0.999025 -1.99613
570 0.999018 -1.99611
571 0.999019 -1.99611
572 0.999021 -1.99612
573 0.999023 -1.99613
574 0.999024 -1.99613
575 0.999026 -1.99614
576 0.999028 -1.99615
577 0.999029 -1.99615
578 0.999031 -1.99616
579 0.999024 -1.99613
580 0.999017 -1.9961
581 0.999019 -1.99611
582 0.999021 -1.99612
583 0.999022 -1.99612
584 0.999024 -1.99613
585 0.999026 -1.99614
586 0.999027 -1.99614
587 0.999029 -1.99615
588 0.999031 -1.99616
589 0.999032 -1.99616
590 0.999034 -1.99617
591 0.999036 -1.99618
592 0.999037 -1.99618
593 0.999039 -1.99619
594 0.99904 -1.9962
595 0.999042 -1.9962
596 0.999044 -1.99621
597 0.999045 -1.99621
598 0.999047 -1.99622
599 0.999048 -1.99623
600 0.99905 -1.99623
601 0.999052 -1.99624
602 0.999053 -1.99625
603 0.999055 -1.99625
604 0.999048 -1.99623
605 0.99905 -1.99623
606 0.999051 -1.99624
607 0.999053 -1.99624
608 0.999046 -1.99622
609 0.999039 -1.99619
610 0.999041 -1.9962
611 0.999034 -1.99617
612 0.999036 -1.99618
613 0.999038 -1.99618
614 0.999039 -1.99619
615 0.999041 -1.9962
616 0.999034 -1.99617
617 0.999036 -1.99618
618 0.999037 -1.99618
619 0.999039 -1.99619
620 0.99904 -1.99619
621 0.999042 -1.9962
622 0.999043 -1.99621
623 0.999045 -1.99621
624 0.999046 -1.99622
625 0.999048 -1.99622
626 0.99905 -1.99623
627 0.999051 -1.99624
628 0.999053 -1.99624
629 0.999054 -1.99625
630 0.999056 -1.99625
631 0.999057 -1.99626
632 0.999059 -1.99627
633 0.99906 -1.99627
634 0.999062 -1.99628
635 0.999063 -1.99628
636 0.999064 -1.99629
637 0.999066 -1.9963
638 0.999067 -1.9963
639 0.999069 -1.99631
640 0.99907 -1.99631
641 0.999072 -1.99632
642 0.999073 -1.99632
643 0.999075 -1.99633
644 0.999076 -1.99634
645 0.999078 -1.99634
646 0.999079 -1.99635
647 0.99908 -1.99635
648 0.999082 -1.99636
649 0.999083 -1.99636
650 0.999085 -1.99637
651 0.999086 -1.99637
652 0.999087 -1.99638
653 0.999089 -1.99639
654 0.99909 -1.99639
655 0.999092 -1.9964
656 0.999093 -1.9964
657 0.999094 -1.99641
658 0.999096 -1.99641
659 0.999097 -1.99642
660 0.999098 -1.99642
661 0.9991 -1.99643
662 0.999101 -1.99644
663 0.999103 -1.99644
664 0.999104 -1.99645
665 0.999105 -1.99645
666 0.999107 -1.99646
667 0.999108 -1.99646
668 0.999109 -1.99647
669 0.999111 -1.99647
670 0.999112 -1.99648
671 0.999106 -1.99645
672 0.999107 -1.99646
673 0.999108 -1.99646
674 0.99911 -1.99647
675 0.999111 -1.99647
676 0.999112 -1.99648
677 0.999114 -1.99648
678 0.999115 -1.99649
679 0.999116 -1.99649
680 0.999118 -1.9965
681 0.999119 -1.99651
682 0.99912 -1.99651
683 0.999114 -1.99649
684 0.999115 -1.99649
685 0.999117 -1.9965
