T M E Susceptibility Cv
2.00000 0.911493 -1.74606 0.372038 0.719771
2.05000 0.892702 -1.70642 0.573359 0.833145
2.10000 0.871091 -1.66471 0.864281 0.930450
2.15000 0.839677 -1.61333 1.59246 1.10669
2.20000 0.786990 -1.54590 3.22724 1.36247
2.25000 0.724558 -1.47701 5.19188 1.56153
2.30000 0.621725 -1.38601 8.24615 1.68435
2.35000 0.532899 -1.30802 9.34975 1.62603
2.40000 0.459721 -1.24204 9.09351 1.43195
2.45000 0.377242 -1.17241 7.89846 1.20005
2.50000 0.311747 -1.11401 6.32267 0.986020
