T M E Susceptibility Cv
2.10000 0.868831 -1.66220 0.940162 0.960167
2.15000 0.835596 -1.60964 1.81169 1.13746
2.20000 0.785640 -1.54671 4.37238 1.41083
2.25000 0.671413 -1.46257 34.3301 2.05320
2.30000 0.392875 -1.35333 102.885 2.16877
2.35000 0.191256 -1.26655 49.7637 1.44150
2.40000 0.128107 -1.20446 24.5210 1.16716
2.45000 0.0982815 -1.15235 14.5793 1.00832
2.50000 0.0795409 -1.10650 9.61477 0.897697
