T M E Susceptibility Cv
2.00000 0.911374 -1.74572 0.385502 0.717251
2.05000 0.893080 -1.70730 0.571127 0.824843
2.10000 0.867949 -1.66181 0.979642 0.961039
2.15000 0.838429 -1.61085 1.42060 1.09722
2.20000 0.787326 -1.54761 3.50431 1.33036
2.25000 0.677626 -1.46421 20.2843 1.92949
2.30000 0.554825 -1.37655 27.2604 2.01024
2.35000 0.382512 -1.28286 28.0202 1.67186
2.40000 0.259916 -1.21010 19.8209 1.30785
2.45000 0.202412 -1.15415 13.3220 1.07669
2.50000 0.160354 -1.10777 9.25354 0.933221
