MC_samples M E
1 0.065 -0.69
2 0.0375 -0.815
3 0.0316667 -0.906667
4 0.035 -0.9825
5 0.039 -1.054
6 0.0475 -1.10667
7 0.06 -1.14857
8 0.073125 -1.1875
9 0.0883333 -1.22778
10 0.105 -1.263
11 0.125455 -1.29545
12 0.144167 -1.325
13 0.159615 -1.35077
14 0.174643 -1.37286
15 0.189333 -1.39267
16 0.2 -1.41
17 0.208824 -1.42529
18 0.220278 -1.43944
19 0.231579 -1.45211
20 0.241 -1.463
21 0.249762 -1.47381
22 0.257727 -1.48318
23 0.26587 -1.49217
24 0.274583 -1.50083
25 0.2838 -1.5088
26 0.292885 -1.51654
27 0.301481 -1.5237
28 0.31125 -1.53143
29 0.319828 -1.53897
30 0.329167 -1.54633
31 0.339032 -1.5529
32 0.3475 -1.55906
33 0.354091 -1.56515
34 0.360735 -1.57
35 0.366857 -1.57457
36 0.372639 -1.57889
37 0.378919 -1.58351
38 0.386447 -1.58868
39 0.39359 -1.59385
40 0.400875 -1.599
41 0.40878 -1.6039
42 0.41619 -1.60905
43 0.424186 -1.61395
44 0.432159 -1.61864
45 0.439667 -1.62311
46 0.447826 -1.62783
47 0.45617 -1.63277
48 0.464583 -1.63792
49 0.472857 -1.64286
50 0.4814 -1.6478
51 0.490294 -1.65294
52 0.499135 -1.65808
53 0.508019 -1.66302
54 0.516759 -1.66833
55 0.525545 -1.67436
56 0.534018 -1.68018
57 0.542105 -1.68544
58 0.549914 -1.69052
59 0.557458 -1.69542
60 0.56475 -1.70017
61 0.571885 -1.70508
62 0.57879 -1.70984
63 0.585476 -1.71444
64 0.591953 -1.71891
65 0.598154 -1.72292
66 0.604167 -1.72682
67 0.61 -1.7306
68 0.615735 -1.73456
69 0.621304 -1.73841
70 0.626714 -1.74214
71 0.631972 -1.74577
72 0.637014 -1.74903
73 0.641849 -1.75192
74 0.646622 -1.755
75 0.651333 -1.75827
76 0.655921 -1.76145
77 0.66039 -1.76455
78 0.664744 -1.76756
79 0.668987 -1.77051
80 0.673125 -1.77338
81 0.67716 -1.77617
82 0.681098 -1.7789
83 0.68494 -1.78157
84 0.68869 -1.78417
85 0.692353 -1.78671
86 0.69593 -1.78919
87 0.699425 -1.79161
88 0.702841 -1.79398
89 0.70618 -1.79629
90 0.709444 -1.79856
