MC_samples M E
248 0.999032 -1.99625
249 0.999016 -1.99618
250 0.999 -1.99612
251 0.998984 -1.99606
252 0.998968 -1.99599
253 0.998972 -1.99601
254 0.998976 -1.99602
255 0.99898 -1.99604
256 0.998984 -1.99605
257 0.998988 -1.99607
258 0.998992 -1.99609
259 0.998996 -1.9961
260 0.999 -1.99612
261 0.999004 -1.99613
262 0.998989 -1.99607
263 0.998992 -1.99608
264 0.998996 -1.9961
265 0.999 -1.99611
266 0.999004 -1.99613
267 0.999007 -1.99614
268 0.999011 -1.99616
269 0.999015 -1.99617
270 0.999019 -1.99619
271 0.999022 -1.9962
272 0.999026 -1.99621
273 0.999011 -1.99615
274 0.998996 -1.99609
275 0.998945 -1.99596
276 0.998931 -1.99591
277 0.998935 -1.99592
278 0.998939 -1.99594
279 0.998943 -1.99595
280 0.998946 -1.99596
281 0.99895 -1.99598
282 0.998954 -1.99599
283 0.99894 -1.99594
284 0.998926 -1.99588
285 0.998912 -1.99582
286 0.998881 -1.9957
287 0.998868 -1.99564
288 0.998872 -1.99566
289 0.998875 -1.99567
290 0.998879 -1.99569
291 0.998883 -1.9957
292 0.998887 -1.99572
293 0.998874 -1.99567
294 0.998861 -1.99561
295 0.998864 -1.99563
296 0.998868 -1.99564
297 0.998872 -1.99566
298 0.998876 -1.99567
299 0.99888 -1.99569
300 0.998883 -1.9957
301 0.998887 -1.99571
302 0.998891 -1.99573
303 0.998894 -1.99574
304 0.998898 -1.99576
305 0.998902 -1.99577
306 0.998905 -1.99578
307 0.998909 -1.9958
308 0.998912 -1.99581
309 0.998916 -1.99583
310 0.998919 -1.99584
311 0.998923 -1.99585
312 0.998926 -1.99587
313 0.99893 -1.99588
314 0.998933 -1.99589
315 0.998937 -1.9959
316 0.99894 -1.99592
317 0.998943 -1.99593
318 0.998947 -1.99594
319 0.99895 -1.99596
320 0.998953 -1.99597
321 0.998956 -1.99598
322 0.99896 -1.99599
323 0.998963 -1.99601
324 0.998966 -1.99602
325 0.998969 -1.99603
326 0.998972 -1.99604
327 0.998976 -1.99606
328 0.998979 -1.99607
329 0.998982 -1.99608
330 0.998985 -1.99609
331 0.998988 -1.9961
332 0.998991 -1.99611
333 0.998979 -1.99607
334 0.998982 -1.99608
335 0.998985 -1.99609
336 0.998988 -1.9961
337 0.998991 -1.99611
338 0.998994 -1.99612
339 0.998997 -1.99614
340 0.999 -1.99615
341 0.999003 -1.99616
342 0.999006 -1.99617
343 0.999009 -1.99618
344 0.998997 -1.99613
345 0.998986 -1.99609
346 0.998988 -1.9961
347 0.998991 -1.99611
348 0.998994 -1.99612
349 0.998997 -1.99613
350 0.999 -1.99614
351 0.999003 -1.99615
352 0.999006 -1.99616
353 0.999008 -1.99618
354 0.999011 -1.99619
355 0.999 -1.99614
356 0.999003 -1.99615
357 0.999006 -1.99616
358 0.998994 -1.99612
359 0.998997 -1.99613
360 0.999 -1.99614
361 0.999003 -1.99615
362 0.999006 -1.99616
363 0.999008 -1.99617
364 0.999011 -1.99618
365 0.999014 -1.99619
366 0.999016 -1.9962
367 0.999005 -1.99616
368 0.999008 -1.99617
369 0.999011 -1.99618
370 0.999014 -1.99619
371 0.999016 -1.9962
372 0.999019 -1.99621
373 0.999021 -1.99622
374 0.999011 -1.99618
375 0.999013 -1.99619
376 0.999016 -1.9962
377 0.999019 -1.99621
378 0.999021 -1.99622
379 0.999024 -1.99623
380 0.999026 -1.99624
381 0.999016 -1.99619
382 0.998992 -1.9961
383 0.998982 -1.99606
384 0.998971 -1.99602
385 0.998961 -1.99597
386 0.998964 -1.99598
387 0.998966 -1.99599
388 0.998956 -1.99595
389 0.998959 -1.99596
390 0.998962 -1.99597
391 0.998964 -1.99598
392 0.998967 -1.99599
393 0.998957 -1.99595
394 0.998921 -1.99586
395 0.998899 -1.9958
396 0.998902 -1.99581
397 0.998904 -1.99582
398 0.998907 -1.99583
399 0.99891 -1.99584
400 0.998912 -1.99585
401 0.998915 -1.99586
402 0.998918 -1.99587
403 0.998921 -1.99588
404 0.998923 -1.99589
405 0.998926 -1.9959
406 0.998916 -1.99586
407 0.998919 -1.99587
408 0.998922 -1.99588
409 0.998924 -1.99589
410 0.998915 -1.99585
411 0.998905 -1.99582
412 0.998908 -1.99583
413 0.99891 -1.99584
414 0.998913 -1.99585
415 0.998916 -1.99586
416 0.998918 -1.99587
417 0.998921 -1.99588
418 0.998923 -1.99589
419 0.998926 -1.99589
420 0.998929 -1.9959
421 0.998931 -1.99591
422 0.998934 -1.99592
423 0.998936 -1.99593
424 0.998939 -1.99594
425 0.998929 -1.99591
426 0.998932 -1.99592
427 0.998934 -1.99593
428 0.998925 -1.99589
429 0.998928 -1.9959
430 0.99893 -1.99591
431 0.998921 -1.99587
432 0.9989 -1.99579
433 0.998891 -1.99575
434 0.998894 -1.99576
435 0.998897 -1.99577
436 0.998899 -1.99578
437 0.998902 -1.99579
438 0.998904 -1.9958
439 0.998907 -1.99581
440 0.998909 -1.99582
441 0.998912 -1.99583
442 0.998914 -1.99584
443 0.998916 -1.99585
444 0.998919 -1.99586
445 0.998921 -1.99587
446 0.998924 -1.99587
447 0.998926 -1.99588
448 0.998929 -1.99589
449 0.99892 -1.99586
450 0.998922 -1.99587
451 0.998925 -1.99588
452 0.998927 -1.99588
453 0.998929 -1.99589
454 0.998932 -1.9959
455 0.998934 -1.99591
456 0.998925 -1.99588
457 0.998917 -1.99584
458 0.998908 -1.99581
459 0.9989 -1.99577
460 0.998902 -1.99578
461 0.998905 -1.99579
462 0.998907 -1.9958
463 0.998909 -1.99581
464 0.998912 -1.99582
465 0.998914 -1.99583
466 0.998916 -1.99584
467 0.998919 -1.99585
468 0.998921 -1.99585
469 0.998923 -1.99586
470 0.998926 -1.99587
471 0.998928 -1.99588
472 0.99893 -1.99589
473 0.998932 -1.9959
474 0.998935 -1.99591
475 0.998926 -1.99587
