MC_samples M E
1 0.125 -0.8
2 0.16 -0.925
3 0.183333 -1.04667
4 0.22375 -1.1425
5 0.253 -1.232
6 0.280833 -1.3
7 0.299286 -1.35286
8 0.31375 -1.395
9 0.326111 -1.43111
10 0.3365 -1.462
11 0.342727 -1.48727
12 0.35 -1.50833
13 0.358077 -1.52615
14 0.367143 -1.54143
15 0.373667 -1.556
16 0.380938 -1.56875
17 0.385882 -1.58
18 0.392222 -1.59
19 0.398947 -1.59895
20 0.40525 -1.6065
21 0.413333 -1.61476
22 0.419545 -1.62182
23 0.425435 -1.6287
24 0.430417 -1.63417
25 0.436 -1.6396
26 0.4425 -1.64423
27 0.449815 -1.64963
28 0.456071 -1.655
29 0.463966 -1.65966
30 0.472 -1.664
31 0.479516 -1.66806
32 0.486875 -1.67219
33 0.494242 -1.67667
34 0.501765 -1.68029
35 0.509429 -1.684
36 0.516806 -1.6875
37 0.524054 -1.69108
38 0.530526 -1.69474
39 0.537436 -1.69846
40 0.545 -1.70175
41 0.553049 -1.70537
42 0.561429 -1.70929
43 0.569651 -1.71395
44 0.577841 -1.71841
45 0.586111 -1.72289
46 0.594348 -1.72717
47 0.602553 -1.73149
48 0.610729 -1.73667
49 0.618571 -1.74163
50 0.6262 -1.7468
51 0.633529 -1.75176
52 0.640577 -1.75654
53 0.647264 -1.76075
54 0.653796 -1.76519
55 0.660091 -1.76945
56 0.666161 -1.77357
57 0.672018 -1.77754
58 0.677672 -1.78138
59 0.683136 -1.78508
60 0.688417 -1.78867
61 0.693525 -1.79213
62 0.698468 -1.79548
63 0.703254 -1.79873
64 0.707891 -1.80188
65 0.712385 -1.80492
66 0.716742 -1.80788
67 0.72097 -1.81075
68 0.725074 -1.81353
69 0.729058 -1.81623
70 0.732929 -1.81886
71 0.73669 -1.82141
72 0.740347 -1.82389
73 0.743904 -1.8263
74 0.747365 -1.82865
75 0.750733 -1.83093
76 0.754013 -1.83316
77 0.757208 -1.83532
78 0.760321 -1.83744
79 0.763354 -1.83949
80 0.766313 -1.8415
81 0.769198 -1.84346
82 0.772012 -1.84537
83 0.774759 -1.84723
84 0.77744 -1.84905
85 0.780059 -1.85082
86 0.782616 -1.85256
87 0.785057 -1.85402
88 0.7875 -1.85568
89 0.789831 -1.85708
90 0.792111 -1.85844
91 0.794341 -1.85978
92 0.796522 -1.86109
