MC_samples M E
249 0.999337 -1.99739
250 0.99934 -1.9974
251 0.999343 -1.99741
252 0.999345 -1.99742
253 0.999348 -1.99743
254 0.99935 -1.99744
255 0.999353 -1.99745
256 0.999355 -1.99746
257 0.999358 -1.99747
258 0.99936 -1.99748
259 0.999363 -1.99749
260 0.999365 -1.9975
261 0.999368 -1.99751
262 0.999351 -1.99744
263 0.999354 -1.99745
264 0.999356 -1.99746
265 0.999358 -1.99747
266 0.999361 -1.99748
267 0.999363 -1.99749
268 0.999366 -1.9975
269 0.999368 -1.99751
270 0.99937 -1.99752
271 0.999373 -1.99753
272 0.999357 -1.99746
273 0.999359 -1.99747
274 0.999361 -1.99748
275 0.999364 -1.99749
276 0.999366 -1.9975
277 0.999368 -1.99751
278 0.999371 -1.99752
279 0.999373 -1.99753
280 0.999375 -1.99754
281 0.999377 -1.99754
282 0.999379 -1.99755
283 0.999382 -1.99756
284 0.999384 -1.99757
285 0.999386 -1.99758
286 0.999388 -1.99759
287 0.99939 -1.9976
288 0.999392 -1.9976
289 0.999394 -1.99761
290 0.999397 -1.99762
291 0.999399 -1.99763
292 0.999401 -1.99764
293 0.999403 -1.99765
294 0.999405 -1.99765
295 0.999407 -1.99766
296 0.999409 -1.99767
297 0.999411 -1.99768
298 0.999413 -1.99768
299 0.999415 -1.99769
300 0.999417 -1.9977
301 0.999419 -1.99771
302 0.999421 -1.99772
303 0.999422 -1.99772
304 0.999424 -1.99773
305 0.999426 -1.99774
306 0.999412 -1.99768
307 0.999414 -1.99769
308 0.999416 -1.99769
309 0.999417 -1.9977
310 0.999419 -1.99771
311 0.999421 -1.99772
312 0.999423 -1.99772
313 0.999425 -1.99773
314 0.999427 -1.99774
315 0.999429 -1.99775
316 0.99943 -1.99775
317 0.999432 -1.99776
318 0.999434 -1.99777
319 0.999436 -1.99777
320 0.999438 -1.99778
321 0.999439 -1.99779
322 0.999441 -1.9978
323 0.999443 -1.9978
324 0.999444 -1.99781
325 0.999446 -1.99782
326 0.999448 -1.99782
327 0.99945 -1.99783
328 0.999451 -1.99784
329 0.999453 -1.99784
330 0.999455 -1.99785
331 0.999456 -1.99785
332 0.999443 -1.9978
333 0.999444 -1.99781
334 0.999446 -1.99781
