MC_samples M E
248 0.499375 -1.25879
249 0.500141 -1.25871
250 0.50078 -1.25884
251 0.501693 -1.25952
252 0.502738 -1.26071
253 0.503775 -1.26142
254 0.504783 -1.26236
255 0.505765 -1.26294
256 0.50666 -1.26328
257 0.507685 -1.26385
258 0.508488 -1.26419
259 0.508977 -1.26436
260 0.509365 -1.26442
261 0.509923 -1.26429
262 0.51063 -1.26454
263 0.51135 -1.2646
264 0.512102 -1.26481
265 0.512755 -1.26494
266 0.513271 -1.26451
267 0.513783 -1.26472
268 0.514422 -1.265
269 0.515037 -1.2652
270 0.515648 -1.26552
271 0.516236 -1.26605
272 0.516783 -1.26647
273 0.517619 -1.26744
274 0.518321 -1.26839
275 0.518709 -1.26855
276 0.519239 -1.26899
277 0.519964 -1.26971
278 0.520629 -1.27018
279 0.521129 -1.27011
280 0.521786 -1.27039
281 0.522544 -1.27103
282 0.523564 -1.27195
283 0.524523 -1.27283
284 0.525511 -1.27384
285 0.526386 -1.27467
286 0.527343 -1.27549
287 0.528066 -1.27582
288 0.528906 -1.27622
289 0.529879 -1.27692
290 0.530845 -1.27772
291 0.531649 -1.27825
292 0.532363 -1.27856
293 0.53302 -1.27901
294 0.533622 -1.27929
295 0.534339 -1.27959
296 0.535 -1.28
297 0.53564 -1.28034
298 0.536208 -1.28044
299 0.536789 -1.28054
300 0.537183 -1.28057
301 0.537409 -1.28037
302 0.537599 -1.28013
303 0.537937 -1.27983
304 0.538273 -1.27951
305 0.538705 -1.27928
306 0.539101 -1.27931
307 0.539479 -1.27948
308 0.539708 -1.27977
309 0.540032 -1.27968
310 0.540242 -1.27948
311 0.540563 -1.27968
312 0.54109 -1.2801
313 0.541869 -1.28086
314 0.542516 -1.28134
315 0.543127 -1.28184
316 0.543671 -1.28234
317 0.544117 -1.28297
318 0.544371 -1.28305
319 0.544781 -1.2832
320 0.545109 -1.28303
321 0.545452 -1.28299
322 0.545823 -1.28292
323 0.5463 -1.28325
324 0.546821 -1.28364
325 0.547446 -1.28418
326 0.548206 -1.28466
327 0.548654 -1.2848
328 0.549116 -1.28482
329 0.549696 -1.28535
330 0.549955 -1.28542
331 0.550091 -1.28544
332 0.550151 -1.28488
333 0.550405 -1.28477
334 0.550629 -1.28494
335 0.551075 -1.28546
336 0.551429 -1.28557
337 0.551662 -1.28564
338 0.552056 -1.28633
339 0.55267 -1.2872
340 0.553382 -1.28803
341 0.554076 -1.2885
342 0.554795 -1.28927
343 0.555525 -1.29032
344 0.556003 -1.29064
345 0.556348 -1.29084
346 0.556575 -1.29084
347 0.556686 -1.29069
348 0.556336 -1.29006
349 0.555659 -1.28966
350 0.555114 -1.28954
351 0.554687 -1.289
352 0.554375 -1.28841
353 0.554533 -1.2881
354 0.554393 -1.28734
355 0.554296 -1.28732
356 0.554326 -1.2875
357 0.554384 -1.28751
358 0.554427 -1.28763
359 0.554304 -1.28721
360 0.554125 -1.28692
361 0.553643 -1.28626
362 0.553135 -1.28591
363 0.552548 -1.28559
364 0.552033 -1.28527
365 0.551507 -1.28523
366 0.551038 -1.28536
367 0.550477 -1.28534
368 0.550149 -1.28554
369 0.549715 -1.28566
370 0.549095 -1.28546
371 0.54841 -1.28509
372 0.547796 -1.28473
373 0.547038 -1.28429
374 0.546283 -1.28401
375 0.545213 -1.28365
376 0.543989 -1.28319
377 0.542719 -1.28273
378 0.541349 -1.28267
379 0.539934 -1.28235
380 0.538658 -1.28234
381 0.537257 -1.28194
382 0.535969 -1.2816
383 0.534674 -1.28149
384 0.533685 -1.28128
385 0.532831 -1.28073
386 0.53215 -1.28039
387 0.531266 -1.28003
388 0.530271 -1.27951
389 0.529409 -1.27913
390 0.528526 -1.27851
391 0.527826 -1.27826
392 0.527003 -1.2777
393 0.526247 -1.27712
394 0.525685 -1.27688
395 0.525316 -1.27663
396 0.525013 -1.27646
397 0.525025 -1.27645
398 0.524975 -1.27641
399 0.524987 -1.27632
400 0.525188 -1.27643
401 0.525287 -1.27638
402 0.525435 -1.27619
403 0.525757 -1.27635
404 0.526101 -1.27641
405 0.526333 -1.27635
406 0.526527 -1.27591
407 0.526744 -1.27568
408 0.526838 -1.27559
409 0.527054 -1.27557
410 0.527329 -1.2758
411 0.527555 -1.27599
412 0.527852 -1.27604
413 0.528184 -1.2761
414 0.528237 -1.27587
415 0.528313 -1.27552
416 0.528257 -1.27531
417 0.528225 -1.27489
418 0.52811 -1.27464
419 0.528103 -1.27465
420 0.528083 -1.27455
421 0.527969 -1.27425
422 0.527879 -1.27391
423 0.527707 -1.27345
424 0.527571 -1.27288
425 0.527353 -1.27256
426 0.527019 -1.27218
427 0.52692 -1.27183
428 0.526787 -1.27126
429 0.526725 -1.27054
430 0.526767 -1.27042
431 0.526821 -1.27028
432 0.526852 -1.27023
433 0.526871 -1.27002
434 0.527189 -1.27032
435 0.527483 -1.27067
436 0.52781 -1.27085
437 0.528078 -1.27108
438 0.528208 -1.27123
439 0.528542 -1.27159
440 0.528852 -1.27175
441 0.529093 -1.27177
442 0.5294 -1.27195
443 0.529729 -1.27196
444 0.53009 -1.27198
445 0.530438 -1.27189
446 0.530874 -1.27206
447 0.531398 -1.27248
448 0.531931 -1.2729
449 0.532561 -1.27343
450 0.533133 -1.27393
451 0.533714 -1.27448
452 0.534204 -1.27493
453 0.534592 -1.27541
454 0.535198 -1.27595
455 0.535725 -1.27631
456 0.53636 -1.27673
457 0.53686 -1.27698
458 0.53738 -1.27723
459 0.537908 -1.2776
460 0.538402 -1.27765
461 0.538905 -1.27796
462 0.539524 -1.27855
463 0.540022 -1.27868
464 0.540356 -1.27892
465 0.540699 -1.27899
466 0.540976 -1.27897
467 0.541253 -1.27906
468 0.541538 -1.27932
469 0.541748 -1.27938
470 0.542191 -1.27964
471 0.542675 -1.27996
