MC_samples M E
248 0.362661 -1.18395
249 0.36247 -1.18337
250 0.3622 -1.18268
251 0.362052 -1.18243
252 0.361429 -1.18202
253 0.361186 -1.18178
254 0.360846 -1.18193
255 0.360529 -1.18169
256 0.360391 -1.18141
257 0.360272 -1.1814
258 0.360853 -1.18136
259 0.361467 -1.18158
260 0.362327 -1.18196
261 0.363161 -1.18192
262 0.36416 -1.18202
263 0.365171 -1.18232
264 0.366117 -1.18254
265 0.367 -1.18287
266 0.367876 -1.18316
267 0.36867 -1.18337
268 0.36972 -1.18362
269 0.370892 -1.18446
270 0.371722 -1.18496
271 0.372638 -1.18498
272 0.373603 -1.1854
273 0.374634 -1.18597
274 0.375821 -1.18682
275 0.376764 -1.1876
276 0.377717 -1.18848
277 0.378592 -1.18892
278 0.379532 -1.18899
279 0.380538 -1.18953
280 0.381357 -1.18918
281 0.381797 -1.18861
282 0.382429 -1.18883
283 0.382933 -1.18908
284 0.383398 -1.18926
285 0.383877 -1.18933
286 0.384021 -1.18923
287 0.384146 -1.18927
288 0.38408 -1.18931
289 0.383789 -1.18924
290 0.383276 -1.18928
291 0.382423 -1.18959
292 0.381678 -1.18938
293 0.380904 -1.18949
294 0.380187 -1.18973
295 0.379373 -1.18946
296 0.378564 -1.18956
297 0.378081 -1.18973
298 0.377685 -1.18977
299 0.377241 -1.19
300 0.37685 -1.19003
301 0.376296 -1.18983
302 0.375762 -1.18947
303 0.375396 -1.18987
304 0.374901 -1.19023
305 0.374197 -1.19056
306 0.373562 -1.19056
307 0.373143 -1.19072
308 0.372922 -1.19104
309 0.372411 -1.19107
310 0.371855 -1.19116
311 0.371383 -1.19122
312 0.370593 -1.19115
313 0.369856 -1.19093
314 0.369045 -1.19073
315 0.368286 -1.19041
316 0.367453 -1.18975
317 0.36653 -1.18924
318 0.36566 -1.18909
319 0.364671 -1.18966
320 0.363547 -1.19019
321 0.362648 -1.19059
322 0.361537 -1.1905
323 0.360495 -1.19087
324 0.35946 -1.19151
325 0.358492 -1.19185
326 0.357561 -1.19187
327 0.356468 -1.19223
328 0.355473 -1.19232
329 0.354468 -1.19201
330 0.353455 -1.19155
331 0.352462 -1.19106
332 0.351491 -1.1906
333 0.350465 -1.1903
334 0.349476 -1.19009
335 0.348522 -1.19012
336 0.347932 -1.19024
337 0.347315 -1.19006
338 0.346716 -1.19012
339 0.345841 -1.19027
340 0.344868 -1.19035
341 0.344062 -1.19018
342 0.343275 -1.19056
343 0.34277 -1.19105
344 0.342471 -1.1911
345 0.342029 -1.19104
346 0.341416 -1.19121
347 0.340519 -1.19124
348 0.339727 -1.19118
349 0.339097 -1.19103
350 0.338243 -1.1908
351 0.337464 -1.1906
352 0.336534 -1.19057
353 0.335652 -1.19028
354 0.334887 -1.18994
355 0.334239 -1.18975
356 0.333722 -1.18924
357 0.333543 -1.18888
358 0.33317 -1.18866
359 0.332632 -1.18864
360 0.332125 -1.18811
361 0.331648 -1.18778
362 0.330981 -1.1874
363 0.330289 -1.18711
364 0.32967 -1.18681
365 0.328973 -1.18649
366 0.328374 -1.1862
367 0.327779 -1.1858
368 0.326984 -1.18562
369 0.326328 -1.18531
370 0.325635 -1.18514
371 0.324973 -1.18493
372 0.32414 -1.18476
373 0.323298 -1.18453
374 0.322527 -1.18409
375 0.321773 -1.18389
376 0.320931 -1.1834
377 0.320225 -1.18297
378 0.319603 -1.18275
379 0.318786 -1.18259
380 0.318026 -1.18234
381 0.317218 -1.18223
382 0.316427 -1.18215
383 0.315718 -1.18188
384 0.314948 -1.18154
385 0.314182 -1.18138
386 0.313497 -1.18132
387 0.312713 -1.18101
388 0.31192 -1.18044
389 0.31126 -1.1799
390 0.310628 -1.17951
391 0.310243 -1.17928
392 0.309758 -1.17895
393 0.309122 -1.1785
394 0.308579 -1.17807
395 0.308177 -1.1777
396 0.307652 -1.1774
397 0.306952 -1.17741
398 0.306445 -1.17714
399 0.306128 -1.17679
400 0.30585 -1.1764
401 0.305561 -1.17608
402 0.30541 -1.17572
403 0.305583 -1.17561
404 0.305792 -1.17554
405 0.306012 -1.17558
406 0.306059 -1.17559
407 0.306437 -1.17585
408 0.306581 -1.17618
409 0.306736 -1.17636
410 0.306915 -1.17649
411 0.306995 -1.1762
412 0.307172 -1.17638
413 0.3073 -1.17673
414 0.307452 -1.17703
