MC_samples M E
248 0.590645 -1.29097
249 0.5899 -1.2904
250 0.58948 -1.29048
251 0.589363 -1.29056
252 0.589444 -1.29083
253 0.589605 -1.29134
254 0.589921 -1.29201
255 0.59 -1.29196
256 0.590195 -1.29219
257 0.590447 -1.29222
258 0.590543 -1.29182
259 0.590676 -1.29181
260 0.590865 -1.292
261 0.590939 -1.29238
262 0.590878 -1.29256
263 0.590856 -1.29285
264 0.590549 -1.2928
265 0.590189 -1.29275
266 0.59 -1.29335
267 0.589682 -1.29348
268 0.589422 -1.29384
269 0.588978 -1.29364
270 0.58837 -1.29348
271 0.587546 -1.29391
272 0.586562 -1.29375
273 0.585403 -1.29388
274 0.584507 -1.29398
275 0.583673 -1.29411
276 0.582808 -1.2942
277 0.582166 -1.29444
278 0.581277 -1.2946
279 0.58043 -1.29427
280 0.579643 -1.29446
281 0.578701 -1.29466
282 0.577624 -1.29447
283 0.576484 -1.29392
284 0.575493 -1.29366
285 0.574456 -1.29312
286 0.573829 -1.29301
287 0.573275 -1.29244
288 0.5725 -1.29163
289 0.571644 -1.29121
290 0.570672 -1.29062
291 0.570172 -1.29045
292 0.569623 -1.29027
293 0.569078 -1.29
294 0.568571 -1.28973
295 0.568254 -1.28946
296 0.567956 -1.28902
297 0.567963 -1.28872
298 0.568154 -1.28839
299 0.568462 -1.28839
300 0.568833 -1.28833
301 0.569186 -1.28821
302 0.569652 -1.28854
303 0.570182 -1.28924
304 0.570576 -1.28964
305 0.570852 -1.2903
306 0.571209 -1.29085
307 0.571466 -1.29107
308 0.571705 -1.29101
309 0.57212 -1.29149
310 0.572532 -1.29171
311 0.573071 -1.29235
312 0.573574 -1.29321
313 0.573722 -1.29383
314 0.573806 -1.29411
315 0.573794 -1.29419
316 0.573877 -1.29421
317 0.573801 -1.29394
318 0.573538 -1.29355
319 0.572962 -1.2927
320 0.572469 -1.29206
321 0.57204 -1.29168
322 0.571506 -1.29168
323 0.57082 -1.29142
324 0.57017 -1.2912
325 0.569754 -1.29083
326 0.569601 -1.29061
327 0.56945 -1.29076
328 0.56936 -1.29076
329 0.569483 -1.29097
330 0.569606 -1.29127
331 0.569622 -1.29157
332 0.569684 -1.29184
333 0.569805 -1.29213
334 0.57003 -1.29263
335 0.570164 -1.29322
336 0.570015 -1.29336
337 0.569881 -1.29356
338 0.569793 -1.29399
339 0.569823 -1.2944
340 0.569662 -1.29444
341 0.569399 -1.29466
342 0.56905 -1.29447
343 0.568848 -1.29429
344 0.568474 -1.2939
345 0.568101 -1.29386
346 0.567673 -1.29373
347 0.567305 -1.29383
348 0.566753 -1.29376
349 0.56616 -1.29367
350 0.565457 -1.29309
351 0.564359 -1.29285
352 0.56331 -1.2927
353 0.562309 -1.29212
354 0.56113 -1.29164
355 0.559986 -1.29113
356 0.558933 -1.29048
357 0.557843 -1.28983
358 0.556885 -1.28925
359 0.555627 -1.28869
360 0.554319 -1.28803
361 0.55295 -1.28704
362 0.551547 -1.28638
363 0.550179 -1.28579
364 0.548681 -1.28547
365 0.54726 -1.28526
366 0.545943 -1.28508
367 0.544564 -1.28507
368 0.543261 -1.28454
369 0.541883 -1.28434
370 0.540716 -1.28411
371 0.53938 -1.28385
372 0.538065 -1.28352
373 0.536769 -1.28316
374 0.535441 -1.28254
375 0.534187 -1.28211
376 0.532979 -1.28154
